Disease,Drugs,Supplements,SideEffects
Rabies,"Rabies vaccine, Immunoglobulin",Vitamin C,Pain at injection site
Respiratory Infection,"Amoxicillin, Antihistamines","Zinc, Vitamin C","Sneezing, GI upset"
Sinusitis,"Saline spray, Amoxicillin","Vitamin C, Bromelain",Nasal irritation
Skin Infection,"Clindamycin, Mupirocin","Vitamin E, Tea tree oil","Itching, Rash"
Stroke,"Aspirin, Alteplase (tPA)","Vitamin D, CoQ10","Paralysis, Confusion"
Syphilis,Penicillin G,"Zinc, Multivitamins",Jarisch-Herxheimer reaction
Testicular Cancer,"Cisplatin, Orchiectomy","Selenium, Vitamin E","Nausea, Infertility"
Thyroid Cancer,"Levothyroxine, Radioiodine",Iodine,"Fatigue, Neck swelling"
Tuberculosis,"Rifampicin, Isoniazid","Vitamin B6, Vitamin D","Hepatotoxicity, Neuropathy"
Typhoid,"Ceftriaxone, Azithromycin","Zinc, Hydration","Diarrhea, Fever"
UTI,"Nitrofurantoin, Trimethoprim","Cranberry extract, Vitamin C","Burning, Nausea"
Ulcerative Colitis,"Mesalamine, Biologics","Probiotics, Omega-3","Diarrhea, Cramps"
Zika Virus,Supportive care,"Hydration, Vitamin C","Fever, Rash"
Fungal infection,"Fluconazole, Clotrimazole","Probiotics, Vitamin C","Itching, Redness"
Allergy,"Cetirizine, Montelukast","Quercetin, Vitamin C","Drowsiness, Dry mouth"
GERD,"Omeprazole, Ranitidine","Aloe vera, Licorice","Bloating, Headache"
Chronic cholestasis,Ursodeoxycholic acid,"Vitamin K, E","Itching, GI upset"
Drug Reaction,"Antihistamines, Corticosteroids",Vitamin C,"Rash, Fever"
Peptic ulcer disease,"Omeprazole, Clarithromycin","Zinc carnosine, Probiotics","GI upset, Headache"
AIDS,"Tenofovir, Efavirenz","Multivitamins, Zinc","Fatigue, GI issues"
Diabetes ,"Metformin, Glimepiride","Alpha-lipoic acid, Chromium","Low blood sugar, Nausea"
Bronchial Asthma,"Salbutamol, Budesonide","Vitamin D, Magnesium","Shakiness, Thrush"
Hypertension ,"Losartan, Hydrochlorothiazide","Potassium, CoQ10","Dizziness, Frequent urination"
Cervical spondylosis,"NSAIDs, Physiotherapy","Calcium, Vitamin D","Neck pain, Stiffness"
Paralysis (brain hemorrhage),"Anticoagulants, Rehabilitation",Vitamin B complex,"Weakness, Seizures"
Jaundice,"Cholestyramine, Fluids","Vitamin K, E","Yellowing, Itching"
Chicken pox,Acyclovir,"Vitamin C, Zinc","Rash, Itching"
Hepatitis A,Supportive care,"Vitamin B-complex, Hydration","Fatigue, Nausea"
Hepatitis C,"Sofosbuvir, Ribavirin","Milk thistle, Vitamin D","Fatigue, Anemia"
Hepatitis D,Peginterferon alfa,"Vitamin D, Antioxidants",Flu-like symptoms
Hepatitis E,Supportive care,"Zinc, Vitamin E","Nausea, Liver pain"
Alcoholic hepatitis,"Prednisolone, Abstinence","Vitamin B1 (thiamine), Zinc","Fatigue, Liver damage"
Common Cold,"Paracetamol, Antihistamines","Vitamin C, Zinc","Runny nose, Sore throat"
Dimorphic hemorrhoids (piles),"Topical steroids, Pain relief","Fiber, Witch hazel","Itching, Bleeding"
Heart attack,"Aspirin, Statins","CoQ10, Omega-3","Fatigue, Nausea"
Varicose veins,"Compression therapy, Surgery",Horse chestnut extract,"Swelling, Discomfort"
Hypoglycemia,"Glucose tablets, Dextrose","Complex carbs, Chromium","Sweating, Confusion"
Osteoarthritis,"NSAIDs, Glucosamine","Vitamin D, Omega-3","Joint pain, GI upset"
Arthritis,"Methotrexate, NSAIDs","Turmeric, Vitamin D","Liver toxicity, GI issues"
(vertigo) Paroxysmal Positional Vertigo,"Betahistine, Vestibular therapy",Gingko biloba,"Dizziness, Nausea"
Urinary tract infection,"Nitrofurantoin, Fosfomycin",Cranberry extract,Burning urination
Impetigo,"Mupirocin, Cephalexin","Vitamin C, Zinc","Skin irritation, Rash"
